D,q_c,R_f,S1,S2,a_max,M_w,Class,CSR,q_c1N,I_c,S
5.8,4.1,0.9,65.6,109.3,0.21,7.1,1,0.18889,50.62114,1.94428,0.60018
8.3,10.3,0.6,88.6,156.8,0.21,7.1,0,0.19662,109.42596,1.74293,0.56505
2.5,7.5,0.4,39.2,46.6,0.21,7.1,0,0.13833,119.78936,1.82145,0.8412
4.3,5.4,0.7,55.7,80.8,0.21,7.1,1,0.16643,72.3546,1.85894,0.68936
7.2,5.7,0.5,99.5,136.8,0.21,7.1,1,0.15412,57.14304,2.02001,0.72734
4.6,3.5,0.7,62.4,86.5,0.21,7.1,1,0.15866,44.30735,2.04428,0.72139
4.3,4.3,0.6,57.7,80.8,0.21,7.1,1,0.16066,56.60836,1.98388,0.71411
5.8,6.8,0.5,79.3,109.3,0.21,7.1,1,0.15626,76.36113,1.91636,0.72553
5.8,6.8,0.4,87.4,111,0.21,7.1,1,0.14398,72.73663,1.98927,0.78739
3.7,1.8,0.8,55.1,70.8,0.21,7.1,1,0.14812,24.24916,2.25548,0.77825
7.3,7.7,0.4,98.5,140.7,0.21,7.1,1,0.15999,77.58408,1.96618,0.70007
5.8,4.8,0.5,83.8,111.3,0.21,7.1,1,0.15057,52.43475,2.05196,0.75292
2.4,2.2,0.4,39.7,45.6,0.21,7.1,1,0.13376,34.91624,2.25376,0.87061
9.8,8.6,1.5,145.5,187.7,0.17,7.1,0,0.11303,71.29629,1.7227,0.77517
8.2,6.9,1.7,101.9,158.8,0.17,7.1,0,0.14027,68.3537,1.72192,0.64169
3.4,3.1,0.4,55.3,63.7,0.21,7.1,1,0.1331,41.68685,2.18835,0.86813
2.8,2.4,0.1,43.9,52.3,0.21,7.1,1,0.1383,36.22255,2.60508,0.83939
2.8,1.4,1.2,42.9,52.3,0.21,7.1,1,0.14153,21.37467,2.24684,0.82027
3.6,4.1,1,59.1,67.5,0.21,7.1,1,0.13176,53.33228,1.90664,0.87556
3,4.3,0.4,47.7,56.1,0.21,7.1,1,0.13632,62.26002,2.04509,0.85027
6.8,11.8,0.5,95.4,128.3,0.32,7.1,0,0.23047,120.81137,1.75631,0.74357
2.5,10.5,0.5,37.7,47.5,0.32,7.1,0,0.22341,171.00886,1.64149,0.79368
2.8,12.8,0.4,35.1,52.3,0.32,7.1,0,0.26358,216.05106,1.63481,0.67113
2,8.3,0.4,28.7,37.1,0.32,7.1,0,0.2301,154.93058,1.73811,0.77358
2.2,12.6,0.4,29.6,40.9,0.32,7.1,0,0.24558,231.59261,1.61427,0.72372
3.7,7.9,0.4,59.7,70.4,0.22,7.1,0,0.14241,102.24449,1.87378,0.84801
5.8,8.1,0.6,96,109.3,0.49,7.1,1,0.30117,82.67028,1.84462,0.87832
4.2,5.5,1.2,70,79.8,0.49,7.1,1,0.30542,65.73757,1.79221,0.87719
6.2,7.2,0.8,101.1,117.8,0.49,7.1,1,0.30723,71.60724,1.83435,0.85823
6.2,4.5,0.9,109,117.8,0.49,7.1,1,0.28496,43.10218,2.008,0.9253
5.8,10.5,0.4,99.9,109.3,0.54,7.1,1,0.31895,105.05254,1.86421,0.914
6.6,8,0.5,107.3,124.5,0.54,7.1,1,0.33608,77.23073,1.91242,0.86185
6.8,3.9,0.8,103.2,128.3,0.54,7.1,1,0.35952,38.39059,2.07361,0.80436
7.3,6.7,0.7,121.6,137.8,0.59,7.1,1,0.35661,60.75864,1.92384,0.88244
4.3,5.3,0.7,73.4,80.8,0.57,7.1,1,0.3428,61.86255,1.91813,0.90842
5.8,4.6,0.6,100.9,109.3,0.57,7.1,1,0.33333,45.79439,2.06302,0.92315
2.7,4.9,1.3,39.5,51.3,0.69,7.1,1,0.49577,77.96461,1.71113,0.76998
4.4,7.7,0.6,69.4,82.7,0.56,7.1,1,0.36429,92.42958,1.80469,0.83918
5.3,3.6,0.9,78.1,100.7,0.56,7.1,1,0.39135,40.73587,2.03011,0.77557
9.3,5,1.7,117.4,175.8,0.56,7.1,1,0.43851,46.1462,1.88316,0.6678
6.8,7.4,0.7,96.4,128.3,0.56,7.1,1,0.39913,75.36908,1.84308,0.75136
5.4,5,0.7,89.4,101.7,0.56,7.1,1,0.34501,52.88119,1.97697,0.87906
10.3,8.5,0.5,144.2,194.8,0.55,7.1,1,0.37733,70.78419,1.94205,0.74025
8.8,4.2,1.6,139.3,166.3,0.55,7.1,1,0.34595,35.58555,1.99831,0.83764
5.6,4.8,0.9,98.1,105.5,0.19,7.1,1,0.11048,48.4626,1.96235,0.92986
